identifier,sender,sent,status,msgType,scope,language,category,event,responseType,urgency,severity,certainty,effective,onset,expires,senderName,headline,description,instruction,param_awareness_level,areaDesc,counties,param_awareness_type,param_situation,standardized_level,standardized_severity,standardized_type
2.49.0.1.372.0.180920094751.864743,forecasts@met.ie,2018-09-20 09:47:51+00:00,Actual,Alert,Public,en-GB,Met,Moderate Rainfall warning,None,Expected,Moderate,Likely,2018-09-19 22:00:01+00:00,2018-09-20 08:00:01+00:00,2018-09-20 20:00:01+00:00,Met Eireann,"Rainfall warning for Carlow, Kilkenny, Wexford, Wicklow, Cork, Tipperary and Waterford","Rain will be persistent and heavy at times especially during the afternoon with risk of spot flooding. Totals of 25 to 40mm expected, highest values likely near coast.",,2; yellow; Moderate,"Carlow, Kilkenny, Wexford, Wicklow, Cork, Tipperary and Waterford",Carlow;Kilkenny;Wexford;Wicklow;Cork,10; Rain,,Yellow,Moderate,Rain
2.49.0.1.372.0.190426145833.594059,forecasts@met.ie,2019-04-26 14:58:33+00:00,Actual,Alert,Public,en-GB,Met,Severe Wind warning,None,Expected,Severe,Likely,2019-04-26 09:00:01+00:00,2019-04-26 18:00:01+00:00,2019-04-26 22:59:01+00:00,Met Eireann,Wind warning for Galway,"Northwesterly winds, associated with Storm Hannah, will reach mean speeds of 65-80 km/h with gusts of 110 to 130 km/h this evening/early tonight, strongest along the coast.",,3; orange; Severe,Galway,Galway,1; Wind,,Orange,Severe,Wind
2.49.0.1.372.0.181213104014.041275,forecasts@met.ie,2018-12-13 10:40:14+00:00,Actual,Alert,Public,en-GB,Met,Moderate Rainfall warning,None,Expected,Moderate,Likely,2018-12-13 09:39:23+00:00,2018-12-12 18:00:01+00:00,2018-12-13 18:00:01+00:00,Met Eireann,Rainfall warning for Waterford and East Cork,"Update: Further outbreaks of rain today will lead to spot flooding, with the highest accumulations in mountainous areas.",,2; yellow; Moderate,Waterford and East Cork,Cork,10; Rain,,Yellow,Moderate,Rain
2.49.0.0.372.0.IE.180102182148.619348,https://beta.met.ie/warnings/,2018-01-02 18:21:48+00:00,Actual,Alert,Public,en-GB,Met,Moderate Wind warning,None,Expected,Moderate,Likely,2018-01-02 05:00:01+00:00,2018-01-02 16:00:01+00:00,2018-01-03 21:00:01+00:00,Met Eireann,Wind warning for Ireland,"Update on previous warning. Southwest to west winds of mean speeds 55 to 65 km/h., gusting 90 to 110 km/h.,  will develop later this afternoon and evening and will continue overnight and through Wednesday. This as result of Storm Eleanor. A period of stronger winds are expected for a short time later today and this evening. See orange warning  for details.",,2; yellow; Moderate,Ireland,Carlow;Kildare;Kilkenny;Laois;Longford;Louth;Meath;Offaly;Westmeath;Wexford;Wicklow;Clare;Cork;Kerry;Galway;Leitrim;Mayo;Roscommon;Sligo;Cavan;Donegal;Monaghan,1; Wind,,Yellow,Moderate,Wind
2.49.0.1.372.0.181109105255.509923,forecasts@met.ie,2018-11-09 10:52:55+00:00,Actual,Alert,Public,en-GB,Met,Moderate Rainfall warning,None,Expected,Moderate,Likely,2018-11-08 10:00:01+00:00,2018-11-09 10:00:01+00:00,2018-11-09 18:00:01+00:00,Met Eireann,Rainfall warning for Ireland,Heavy rain will lead to accumulations of around 25 to 40mm but may exceed these limits in mountainous areas.,,2; yellow; Moderate,Ireland,Carlow;Kildare;Kilkenny;Laois;Longford;Louth;Meath;Offaly;Westmeath;Wexford;Wicklow;Clare;Cork;Kerry;Galway;Leitrim;Mayo;Roscommon;Sligo;Cavan;Donegal;Monaghan,10; Rain,,Yellow,Moderate,Rain
2.49.0.1.372.0.200225175024.037448,forecasts@met.ie,2020-02-25 17:50:24+00:00,Actual,Alert,Public,en-GB,Met,Moderate Wind warning,None,Expected,Moderate,Likely,2020-02-25 14:39:33+00:00,2020-02-25 14:00:01+00:00,2020-02-25 23:00:01+00:00,Met Eireann,"Wind warning for Clare, Cork and Kerry",Northwest winds will reach mean speeds of 50 to 60km/h with gusts of 90 to 100 km/h. Strongest gusts associated with showers.,,2; yellow; Moderate,"Clare, Cork and Kerry",Clare;Cork;Kerry,1; Wind,,Yellow,Moderate,Wind
2.49.0.1.372.0.200820162553.448638,forecasts@met.ie,2020-08-20 16:25:53+00:00,Actual,Alert,Public,en-GB,Met,Moderate Wind warning,None,Expected,Moderate,Likely,2020-08-20 16:00:01+00:00,2020-08-20 21:00:01+00:00,2020-08-20 22:59:01+00:00,Met Eireann,Wind warning for Carlow and Kilkenny,Very strong southerly winds with some damaging gusts will result in disruption in places.,,2; yellow; Moderate,Carlow and Kilkenny,Carlow;Kilkenny,1; Wind,,Yellow,Moderate,Wind
2.49.0.1.372.0.181011163423.294511,forecasts@met.ie,2018-10-11 16:34:23+00:00,Actual,Alert,Public,en-GB,Met,Severe Wind warning,None,Expected,Severe,Likely,2018-10-11 12:58:44+00:00,2018-10-11 22:00:01+00:00,2018-10-12 16:00:01+00:00,Met Eireann,"Wind warning for Donegal, Galway, Mayo, Sligo and Clare","Storm Callum: Southeast winds veering southwest will gust generally between 100 and 130km/h, higher in some coastal areas and on high ground. Along with a spell of heavy rain and high tides there is a risk of coastal flooding and damage.",,3; orange; Severe,"Donegal, Galway, Mayo, Sligo and Clare",Donegal;Galway;Mayo;Sligo;Clare,1; Wind,,Orange,Severe,Wind
2.49.0.0.372.0.IE.180123150827.824545,https://beta.met.ie/warnings/,2018-01-23 15:08:27+00:00,Actual,Alert,Public,en-GB,Met,Severe Wind warning,None,Expected,Severe,Likely,2018-01-23 14:00:01+00:00,2018-01-24 00:01:01+00:00,2018-01-24 05:00:01+00:00,Met Eireann,Wind warning for Ireland,"A depression now named Storm Georgina will track to the northwest of the country tonight. Southwest winds will reach mean speeds between 65 and 80 km/h, gusting up to 120 km/h for a time tonight.",,3; orange; Severe,Ireland,Carlow;Kildare;Kilkenny;Laois;Longford;Louth;Meath;Offaly;Westmeath;Wexford;Wicklow;Clare;Cork;Kerry;Galway;Leitrim;Mayo;Roscommon;Sligo;Cavan;Donegal;Monaghan,1; Wind,,Orange,Severe,Wind
2.49.0.1.372.0.190718091129.374897,forecasts@met.ie,2019-07-18 09:11:29+00:00,Actual,Alert,Public,en-GB,Met,Moderate Rainfall warning,None,Expected,Moderate,Likely,2019-07-18 09:00:01+00:00,2019-07-19 07:00:01+00:00,2019-07-19 19:00:01+00:00,Met Eireann,"Rainfall warning for Connacht, Cavan, Monaghan, Donegal, Longford and Westmeath","Rain followed by heavy, possibly thundery downpours could lead to accumulations of 25 to 40 mm with the risk of localized flooding.",,2; yellow; Moderate,"Connacht, Cavan, Monaghan, Donegal, Longford and Westmeath",Galway;Leitrim;Mayo;Roscommon;Sligo;Cavan;Monaghan;Donegal;Longford;Westmeath,10; Rain,,Yellow,Moderate,Rain
2.49.0.1.372.0.200210115747.471175,forecasts@met.ie,2020-02-10 11:57:47+00:00,Actual,Alert,Public,en-GB,Met,Moderate Wind warning,None,Expected,Moderate,Likely,2020-02-09 17:25:18+00:00,2020-02-09 17:00:01+00:00,2020-02-10 20:00:01+00:00,Met Eireann,Wind warning for Ireland,"Storm Ciara will continue to produce very strong west to southwest winds over Ireland with mean speeds of 50-65km/h and gusts generally of between 90 and 110km/h, higher in Atlantic coastal areas.\n \nA combination of Spring Tides and high seas will result in a significant risk of coastal flooding.",,2; yellow; Moderate,Ireland,Carlow;Kildare;Kilkenny;Laois;Longford;Louth;Meath;Offaly;Westmeath;Wexford;Wicklow;Clare;Cork;Kerry;Galway;Leitrim;Mayo;Roscommon;Sligo;Cavan;Donegal;Monaghan,1; Wind,,Yellow,Moderate,Wind
